iter	Accuracy	MultiClass
623	0.9782318629	0.07121540302
624	0.9782732714	0.07120191126
625	0.9782511858	0.0711853575
626	0.9781975323	0.0711623131
627	0.978243043	0.07115162112
628	0.9782452957	0.07112740758
629	0.9783408226	0.07107605277
630	0.9783589126	0.07105770158
631	0.9783874597	0.07103208059
632	0.9783722389	0.07100377772
633	0.9782819405	0.0709726961
634	0.9783185853	0.07095390139
635	0.9783425203	0.07092406437
636	0.9783390346	0.07090674189
637	0.9783939211	0.07086756541
638	0.9783553818	0.07084724003
639	0.9783571246	0.07081313645
640	0.9783542554	0.07078871061
641	0.9783868432	0.0707467996
642	0.9784392187	0.07071312758
643	0.9784006794	0.07068515706
644	0.9784205123	0.07065670907
645	0.9785039458	0.07062169807
646	0.9785080479	0.07059046303
647	0.9784915942	0.07057646285
648	0.9785278808	0.07051916727
649	0.978506815	0.07049270515
650	0.9785401258	0.07047273432
651	0.9785453543	0.07046008372
652	0.9785505829	0.07043885227
653	0.9785709256	0.07040329808
654	0.9785424172	0.07035859372
655	0.9785343195	0.07033595816
656	0.9785424172	0.07029927214
657	0.9785487721	0.07025565398
658	0.9785703478	0.07021680283
659	0.9785732171	0.07019066967
660	0.9786146256	0.07015330925
661	0.9786187277	0.0701351799
662	0.978639177	0.07011750605
663	0.9786986756	0.07008088458
664	0.9786951899	0.07007482918
665	0.978764529	0.07001691691
666	0.9787702675	0.06998763598
667	0.9787463325	0.0699645691
668	0.9787521775	0.06993925163
669	0.9788134189	0.06991617563
670	0.9787907168	0.06988245071
671	0.978793586	0.06987507108
672	0.9788088068	0.06986092298
673	0.9788770195	0.06981437947
674	0.9788437088	0.06979472557
675	0.9788437088	0.06979413476
676	0.9788132672	0.06976450114
677	0.9788278715	0.06974381844
678	0.9788261287	0.06970438236
679	0.9788331001	0.06967277653
680	0.9788365857	0.06966624003
681	0.9788768679	0.06962245145
682	0.9788581614	0.06960912815
683	0.97886288	0.06956960655
684	0.9788669822	0.0695324136
685	0.9789071578	0.06949047077
686	0.9789385741	0.06946365526
687	0.9789198676	0.06942334532
688	0.9789408268	0.06940605441
689	0.9789543048	0.06937284634
690	0.9790207747	0.06932998859
691	0.9790277461	0.06930153441
692	0.9789566641	0.06924790764
693	0.9789928441	0.06921668679
694	0.978981109	0.06918364084
695	0.9790044275	0.06917340966
696	0.9790306153	0.06912392654
697	0.979046346	0.06910328947
698	0.9790600757	0.06905302672
699	0.9790531043	0.06901305841
700	0.9791324357	0.06897782584
701	0.979175587	0.06894712614
702	0.9791750771	0.06892578514
703	0.9791942935	0.06889813842
704	0.9791776267	0.06887129487
705	0.9791676345	0.06884250096
706	0.9791985409	0.06881172845
707	0.9792591658	0.06877127109
708	0.9793880034	0.06871944726
709	0.9793762684	0.06870337372
710	0.9793767783	0.06868133223
711	0.979439146	0.06864987693
712	0.9794374032	0.06862599496
713	0.9794794282	0.06859897567
714	0.9794735832	0.0685557741
715	0.979528318	0.06850488579
716	0.9795084852	0.06845564861
717	0.9795470245	0.06843202802
718	0.9795487673	0.06838971079
719	0.9796082659	0.06835340962
720	0.9796128779	0.06833199529
721	0.9796111351	0.06828240149
722	0.9795970407	0.0682559279
723	0.9796419349	0.06822237719
724	0.9796874456	0.0681928697
725	0.9796926741	0.06817188655
726	0.979681449	0.06814812753
727	0.9797030246	0.06812969534
728	0.979728086	0.06811496315
729	0.9797392047	0.068081296
730	0.9797607803	0.0680529455
731	0.9797643726	0.06801748755
732	0.9797754461	0.06798705599
733	0.9798005075	0.06795854997
734	0.9798168546	0.06793663893
735	0.9798576467	0.06790749109
736	0.9798552874	0.06789550277
737	0.9798576467	0.06786478371
738	0.9798406831	0.06783915808
739	0.9798605159	0.06782295837
740	0.9798739939	0.06780255828
741	0.9798728675	0.06776805203
742	0.9798894664	0.06771440721
743	0.9799034091	0.06768624126
744	0.9798864455	0.06766022543
745	0.9799013015	0.06760638309
746	0.9799176487	0.06757671832
747	0.9799408607	0.06753698659
748	0.979937375	0.0675289931
749	0.9799478321	0.06750518929
750	0.9799495749	0.06750142506
751	0.9799133949	0.06747450541
752	0.9799145213	0.06746657065
753	0.9798929456	0.06745148383
754	0.9799127784	0.06742778224
755	0.9799303585	0.06739619261
756	0.9799909834	0.06737286898
757	0.9799927263	0.06735473836
758	0.9799746363	0.06733566975
759	0.9799674067	0.06729322627
760	0.9799720188	0.06727818885
761	0.9799918516	0.06724076879
762	0.9799743781	0.06721971582
763	0.9800367459	0.06720102828
764	0.9800443788	0.06717477088
765	0.9800642116	0.06715537238
766	0.9800659545	0.06713341568
767	0.9800630853	0.06712014076
768	0.9800881466	0.0671045082
769	0.9801254079	0.06706549303
770	0.9801184365	0.06704265749
771	0.980152722	0.0670248178
772	0.9801335057	0.06699419738
773	0.9801504693	0.06698237843
774	0.9801369913	0.06696034729
775	0.9801195178	0.06694381876
776	0.9801410935	0.06692577907
777	0.9802117107	0.06689633769
778	0.9802158128	0.06687623819
779	0.9802158128	0.06685454048
780	0.9801796328	0.06682661053
781	0.98017789	0.06681720269
782	0.9801942371	0.06680395472
783	0.9801801427	0.0667739238
784	0.9801761471	0.06675466939
785	0.9802350292	0.06670763583
786	0.9802112007	0.06668357633
787	0.9802327764	0.06665969591
788	0.9802494819	0.06663275493
789	0.9802500983	0.06660468212
790	0.9802664455	0.06657878072
791	0.9802180656	0.06656210153
792	0.9802198084	0.06655120382
793	0.9802344127	0.0665374908
794	0.9802927849	0.06650263697
795	0.9802881728	0.06648829843
796	0.9802905321	0.06645891779
797	0.9802735685	0.06644108441
798	0.9802928914	0.06642973561
799	0.9802700828	0.06641229924
800	0.9803132342	0.06639512551
801	0.9802934014	0.06638367683
802	0.9802554785	0.06636163404
803	0.9803037519	0.06634122571
804	0.9803288132	0.06633289102
805	0.9803702218	0.06630472377
806	0.980355001	0.06629678877
807	0.9803288132	0.06627424919
808	0.9803316825	0.06625606712
809	0.9803479231	0.06623823942
810	0.980396303	0.0662113246
811	0.980449295	0.0661621687
812	0.9804469357	0.06614082871
813	0.9804498049	0.06611782603
814	0.9804731234	0.06609647162
815	0.9804510378	0.06607199158
816	0.9804930628	0.06604173609
817	0.9804721036	0.06601473011
818	0.9804662586	0.06599735874
819	0.9805163813	0.06598274579
820	0.9805163813	0.06598273006
821	0.980514022	0.06595761379
822	0.9805821283	0.06593389254
823	0.9806405004	0.06589529108
824	0.9806026841	0.06584602892
825	0.9806026841	0.06584090611
826	0.9806598233	0.06580514563
827	0.9806598233	0.06579334185
828	0.9806702804	0.06576497894
829	0.9806929825	0.06575156058
830	0.9806736595	0.06571607904
831	0.9806888803	0.0656955756
832	0.9806853946	0.06566232668
833	0.980746636	0.06561764214
834	0.9808212037	0.06558245932
835	0.9808230531	0.06555175487
836	0.9808660979	0.06553509899
837	0.9808037301	0.06551259378
838	0.9808287915	0.06549539059
839	0.9807989664	0.06547004284
840	0.9808443706	0.06544361553
841	0.9808595913	0.06542225866
842	0.980858465	0.06538941703
843	0.9808368893	0.06537050098
844	0.9808386321	0.06535510571
845	0.9808425212	0.06532941962
846	0.9808828033	0.06530883521
847	0.9808647133	0.06527827288
848	0.9809161141	0.06525226934
849	0.9809452776	0.06521199418
850	0.9809424084	0.06518351338
851	0.9809365183	0.06514723933
852	0.9809336491	0.06510636362
853	0.9809434897	0.06508828284
854	0.9809452325	0.06506134737
855	0.9809761389	0.06504385478
856	0.9809969916	0.06500459832
857	0.9809941223	0.06497291897
858	0.9810010937	0.06495220763
859	0.9810158046	0.06493151494
860	0.981051878	0.06490191011
861	0.9810332781	0.06488021123
862	0.9810862701	0.06484152696
863	0.9810822745	0.06480943557
864	0.9810834009	0.06479455169
865	0.9811265522	0.06476897075
866	0.9811496126	0.0647199063
867	0.981144384	0.06470602593
868	0.9811816904	0.06469507936
869	0.9811904047	0.06467457495
870	0.9811775432	0.06466266438
871	0.981197376	0.06464700043
872	0.9812364253	0.06462186086
873	0.9812732217	0.06460723594
874	0.9812732217	0.06459274048
875	0.9813151402	0.06456584245
876	0.9813221116	0.06455607678
